record_id,doi,title,journal,record_index,source_format,source_chunk_ids,route,catalyst_class,catalyst,solvent,catalyst_smiles,catalyst_smiles_tier,solvent_smiles,solvent_smiles_tier,product,product_smiles,substrate_smiles,temperature_c,reaction_time_min,pressure_atm,catalyst_amount_g,PET_amount_g,solvent_amount_g,yield_percent,conversion_percent,selectivity_percent,judge_verdict,judge_drop_record,judge_n_fixes,judge_bad_fields,judge_critique,judge_fixes,n_citations,citations_resolve,corrected_catalyst,corrected_solvent,corrected_temperature_c,corrected_reaction_time_min,corrected_pressure_atm,corrected_catalyst_amount_g,corrected_PET_amount_g,corrected_solvent_amount_g,corrected_yield_percent,corrected_conversion_percent,corrected_selectivity_percent,corrected_fields,phase,phase_why,phase_by,structure_source,audit,catalyst_loading_wt,yield_basis,single_component,duplicate_of,quality_flags
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#0,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,0,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,propylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"The record describes the glycolysis step reported in the experimental section (chunks 0e895911-c42b-49ac-95b8-7bc5146175ee and 0d688af1-b780-404a-aa4b-b25d0b693879): zinc acetate catalyst (0.5 wt % of PET) in propylene glycol at 200 °C for 8 h (480 min). The catalyst identity, solvent, temperature and time are correct. However, the paper gives the catalyst amount as a weight percentage (0.5 % of PET) but does not state the absolute PET mass, so the catalyst mass can be derived only if the PET amount is known, which it is not. Therefore a null catalyst_amount_g is a bad field.",,2,True,zinc acetate,propylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,,
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#1,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,1,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,propylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"Same as record 0: the experimental details are correctly captured, but the catalyst mass is missing despite the paper providing a 0.5 wt % catalyst loading. Without a reported PET mass the absolute catalyst amount cannot be filled, making the null value unacceptable.",,2,True,zinc acetate,propylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#0,
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#2,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,2,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,propylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"Duplicate of records 0‑1 with identical issue: catalyst amount should be derivable from the reported 0.5 wt % loading, yet no PET mass is given, so the null is a bad field.",,2,True,zinc acetate,propylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#0,
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#3,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,3,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,dipropylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)COC(C)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"Describes the glycolysis using dipropylene glycol under the same conditions (200 °C, 8 h, 0.5 wt % zinc acetate). All fields are correct except catalyst_amount_g, which is null despite the paper giving a weight‑percentage loading without an absolute PET mass.",,2,True,zinc acetate,dipropylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,,
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#4,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,4,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,dipropylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)COC(C)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"Same experimental description as record 3; catalyst amount remains unspecified in absolute grams, making the null entry invalid.",,2,True,zinc acetate,dipropylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#3,
10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#5,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a,Curing behaviour of unsaturated polyester resins based on recycled poly(ethylene terephthalate) (RPET) : Effects of RPET content and glycol type,Polymer International,5,PDF,0e895911-c42b-49ac-95b8-7bc5146175ee;0d688af1-b780-404a-aa4f-b25d0b693879,glycolysis,metal salt,zinc acetate,dipropylene glycol,CC(=O)[O-].CC(=O)[O-].[Zn+2],confirmed,CC(O)COC(C)CO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,200.0,480.0,,,,,,,,incorrect,False,0,catalyst_amount_g,"Again a duplicate of the dipropylene glycol run; all reported values match the paper except the missing catalyst mass, which should be derivable from the 0.5 wt % specification but cannot be computed without a PET mass.",,2,True,zinc acetate,dipropylene glycol,200.0,480.0,,,,,,,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,flagged,,,True,10.1002/(sici)1097-0126(199710)44:2<143::aid-pi813>3.0.co;2-a#3,
10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p#0,10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p,Alkali decomposition of poly(ethylene terephthalate) with sodium hydroxide in nonaqueous ethylene glycol: A study on recycling of terephthalic acid and ethylene glycol,Journal of Applied Polymer Science,0,PDF,db1d834d-a4fb-4e1a-8100-2de78d1f0ef1;46fbe668-6f95-474e-adf1-d0d0136e81c4;334835f4-26a9-483c-ab91-4b259badbd62,glycolysis,metal salt,sodium hydroxide,ethylene glycol,[Na+].[OH-],confirmed,OCCO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,150.0,80.0,,,,,,100.0,,correct,False,0,,"The paper describes a complete decomposition of PET at 150 °C for 80 min, reporting quantitative conversion (100 %). No specific masses of NaOH or EG are given for this single run, only ranges, so leaving catalyst_amount_g, PET_amount_g and solvent_amount_g null is acceptable. Yield and selectivity are not numerically reported for this condition, so null values are permissible. The record matches the described experiment.",,3,True,sodium hydroxide,ethylene glycol,150.0,80.0,,,,,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p#1,10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p,Alkali decomposition of poly(ethylene terephthalate) with sodium hydroxide in nonaqueous ethylene glycol: A study on recycling of terephthalic acid and ethylene glycol,Journal of Applied Polymer Science,1,PDF,334835f4-26a9-483c-ab91-4b259badbd62,glycolysis,metal salt,sodium hydroxide,ethylene glycol,[Na+].[OH-],confirmed,OCCO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,160.0,50.0,,,,,,100.0,,correct,False,0,,"The text states that complete decomposition occurs at 160 °C in 50 min, corresponding to 100 % conversion. Exact masses of reagents are not detailed for this specific run, and yield/selectivity are not numerically given, making the null fields acceptable. The record aligns with the experiment reported in the paper.",,1,True,sodium hydroxide,ethylene glycol,160.0,50.0,,,,,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p#2,10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p,Alkali decomposition of poly(ethylene terephthalate) with sodium hydroxide in nonaqueous ethylene glycol: A study on recycling of terephthalic acid and ethylene glycol,Journal of Applied Polymer Science,2,PDF,334835f4-26a9-483c-ab91-4b259badbd62,glycolysis,metal salt,sodium hydroxide,ethylene glycol,[Na+].[OH-],confirmed,OCCO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,170.0,30.0,,,,,,100.0,,correct,False,0,,"The paper indicates that at 170 °C the reaction is complete after 30 min, i.e., 100 % conversion. No specific catalyst or solvent masses are provided for this run, and yield/selectivity are not reported, so the null entries are justified. The record correctly reflects the reported experiment.",,1,True,sodium hydroxide,ethylene glycol,170.0,30.0,,,,,,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p#3,10.1002/(sici)1097-4628(19970131)63:5<595::aid-app7>3.0.co;2-p,Alkali decomposition of poly(ethylene terephthalate) with sodium hydroxide in nonaqueous ethylene glycol: A study on recycling of terephthalic acid and ethylene glycol,Journal of Applied Polymer Science,3,PDF,db1d834d-a4fb-4e1a-8100-2de78d1f0ef1;334835f4-26a9-483c-ab91-4b259badbd62,glycolysis,metal salt,sodium hydroxide,ethylene glycol,[Na+].[OH-],confirmed,OCCO,confirmed,BHET,O=C(OCCO)c1ccc(C(=O)OCCO)cc1,*OCCOC(=O)c1ccc(C(*)=O)cc1,180.0,15.0,,,,,100.0,100.0,,correct,False,0,,"For 180 °C and 15 min the paper states that TPA was obtained quantitatively, which the record captures as 100 % yield and 100 % conversion. Selectivity is not discussed, and catalyst/solvent masses are not specified per run, so the null fields are appropriate. The record faithfully represents the experiment described.",,2,True,sodium hydroxide,ethylene glycol,180.0,15.0,,,,,100.0,100.0,,,homogeneous,a compound class that dissolves at reaction temperature,soluble,confirmed,accepted,,,True,,
